药材,别名,性味归经,功用,症状,药材分类,用法用量,注意事项
柽柳,柽、河柳、殷柽、雨师、人柳、赤柽木、三春柳、春柳、三眠柳、长寿仙人柳、观音柳、垂丝柳、雨丝、蜀柳、西河柳、赤柽柳、山柽柳,味辛，性平；归肺、胃、心经,,1、麻疹不透，风疹瘙痒：本品辛散透发，功专发表透疹，主治麻疹初起，疹出不畅，或表邪外束，疹毒内陷，始见形而骤然收没者。 2、风湿痹痛：本品辛散，有祛风除湿作用，治疗风湿痹证，肢节疼痛。 3、西医诊为麻疹、多形性红斑、荨麻疹等见有表邪外束者，风湿性关节炎、类风湿性关节炎神经痛性肌萎缩症、肩部粘连囊炎、滑膜炎及肌腱滑膜炎、其他无菌性骨坏死、痛风性关节炎等属于风湿之邪阻滞经络者。,植物,内服：煎汤，10-15g；或入散剂。外用：煎汤擦洗。,麻疹已透者不宜使用。用量过大易致心烦、呕吐。
紫苏苞,味微辛，性平；归肺经,植物,解表。,血虚感冒。,,内服：煎汤，3-9g。,
翻白草,PotentillaeDiscolorisHerba,苦，寒；归胃、大肠经,清热解毒，止血，止痢功效。,1、湿热泻痢：本品苦寒，能清热解毒，凉血止痢，故常用于热痢、血痢。  2、痈肿疮毒：本品苦以降泄，寒能清热，解毒消肿，常用治热毒壅盛所致之痈肿疮毒。  3、血热出血：本品苦寒清热，又有凉血止血之功，故常用治血热所致的吐血、便血、崩漏下血以及外伤出血。  4、肺热咳喘：本品苦寒，有清泻肺热之功，治疗肺热咳嗽痰喘及肺痈等证。,植物,煎服，9-15g，鲜品30-60g。外用适量，捣敷患处。,尚不明确。
黄花紫丹参,植物,,活血调经，补虚。,用于月经不调，体虚。,,内服：煎汤，3-9g。,
高山芹根,辛，寒,小毒,理气健胃。,用于腹胀食少，消化不良。,植物,内服：煎汤，3-9g。,
井底泥,井底沙,性寒，味淡。归心、肝经,清热解毒，安胎。,妊娠热病，胎动不安，风热头痛，天疱疮，热疖，烫火烧伤。,无毒（《绍兴本草》）,外用：适量，涂敷。,不宜内服。
密毛桃叶珊瑚叶,味辛、微苦，性平,植物,散瘀止血。,跌打瘀肿，外伤出血。,,外用：适量，鲜品捣敷或干品研末撒。,
炸腰果,镰叶解宝叶《全国中草药汇编》,味苦、涩，性寒,收敛止血。,外伤出血，刀枪损伤。,植物,外用：适量，研末撒敷。,脾胃虚寒者慎用。
青葙子,野鸡冠花、狗尾花、狗尾苋,味苦，性微寒；归肝、脾经,清热泻火，明目退翳。,1、肝热目赤，眼生翳膜，视物昏花：本品苦寒清降，功专清泻肝经实火以明目退翳，用治肝火上炎所致目赤肿痛、眼生翳膜，视物昏花，肝虚血热之视物昏花，肝肾亏损，目昏干涩。  2、肝火眩晕：取本品清泻肝火以平抑肝阳，可用治肝阳化火所致头痛、眩晕、烦躁不寐。  3、西医诊为急性结膜炎、沙眼、玻璃体混浊、白内障、视神经萎缩、视网膜色素变性、高血压、梅尼埃病等属于肝火上炎者。,植物,内服：煎服，10-15g。,本品有扩散瞳孔作用，青光眼患者禁用。
青叶丹,思茅獐牙菜,云南、广东,清热解毒，舒肝健胃。,外感风热，咽喉炎、扁桃体炎及尿频、急、痛，湿热黄疸。,味苦、性寒，归肺、肝、胃、膀胱经,内服：煎汤，9-15克。,尚不明确。
密毛桃叶珊瑚根,味苦、辛，性温,植物,通络止痛。,腰腿疼痛。,,内服：煎汤，9-15g。,
鸭舌鱼鳖,苍条鱼鳖、卧龙草、马牙齿、三百棒、石豇豆、回阳生、金扁担、金挖耳、手指背、石菜叶。,味微苦，性凉。归心、肝、脾经,清热，利湿，明目。,肺热咳嗽，咽喉肿痛，目赤羞明，小儿惊风，小便不利，妇女带下。,无毒,内服：煎汤，15-30g。,
酒,味甘、苦、辛，性温。归心、肝、肺、胃经,有毒《别录》,通血脉，行药势。,用于风寒痹痛，筋脉挛急，胸痹，心痛，脘腹冷痛。,植物,内服：适量，温饮；或和药同煎；或浸药。外用：适量，单用或制成酒剂涂搽；或湿敷；或漱口。,阴虚、失血及湿热甚者忌服。
台湾磨盘草,味甘、淡，性平。归肺经,植物,活血解毒，开窍。,用于耳鸣，耳聋，中耳炎。,,内服：煎汤，5-10g。,
砂漏芦,沙前胡籽,味辛、甘，性平。归肺经,止血、安胎。,用于先兆流产，产后出血。,植物,内服：煎汤，6-15g。,
木瓜枝,木李枝,华东、华中、西南,祛湿舒筋。,霍乱吐下，腹痛转筋。,味酸、涩，性温，归肝、胃经,内服：煎汤，10-15克。,孕妇慎用。
茄稞虫,野茄稞内虫,味淡、辛，性温。,补肾。,用于男女童痨，疔疮初起。,动物,内服：煎汤，6-10条，或烧存性研末。外用：烧存性，研末掺末。,
孔公孽,通石、孔公石,山西、陕西、甘肃、湖北、湖南、广东、广西、四川、贵州、云南,通阳散寒，化瘀散结，解毒。,腰膝冷痛，症瘕结聚，饮食不化，恶疮，痔瘘，乳汁不通。,味甘、辛，性温,内服：煎汤，9-15g，打碎先煎；研末1.5-3g；或入丸、散。外用：适量，研末调敷。,阴虚火旺，肺热盛者及孕妇禁服。
马醉木,味苦，性凉,有剧毒《全国中草药汇编》,杀虫。,用于疥疮。,植物,外用：适量，煎水洗，渣敷。,~本品有大毒，不宜内服。《现代实用中药》：“专供外用，切勿内服。”~
披散糖荠,味甘、涩，性寒,植物,敛肺止咳。,用于虚劳咳嗽。,,内服：煎汤，3-9g。,
鄂豆根,胡豆连、胡豆七、黄结,味苦，性寒,清热解毒，行气止痛。,咽喉肿痛。,植物,5-10g，或研末；外用适量，捣敷。,
鹅腿骨,味甘，性平。归肾、肝经,动物,消肿解毒。,狂犬咬伤。,本词条仅用于中医药知识的科普，对于任何形式的野生动物和野生植物的使用均须遵守国家的相关法律法规。,外用：适量，研末掺。,
马鬃蛇,盐蛇、篱筒马、午时逢、树蜥蜴、四脚蛇、公鸡蛇、鸡冠蛇、雷公蛇、阿公蛇,性温，味甘。归脾经,祛风活血，滋补强壮。,用于腰腿筋骨疼痛，血虚体弱，小儿疳积。,无毒,内服：饮浸酒，每次20-30ml；或蒸熟，每次1-2条；或研末。,孕妇禁用。
丁香油,味辛、甘，性热。归脾、胃、肾经,无毒,暖胃，降逆，温肾，止痛。,胃寒胀痛，呃逆，吐血，痹痛，疝痛，口臭，牙痛。,植物,内服：以少许滴入汤剂中或和酒饮。外用：适量，涂擦。,实火、阴虚火旺者禁服。
脐带,坎气,味甘、咸，性温。归心、肺、肾经,益肾，纳气。,用于肾虚喘咳，虚劳羸弱，气血不足，盗汗，久疟。,植物,内服：煎汤，1-2条；入丸、散，1-3g。,风寒痰喘或胃弱者忌服。
鸡矢藤,鸡屎藤、牛皮冻、解暑藤、狗屁藤、臭藤、皆治藤、清风藤,味甘、苦，性微寒；归脾、胃、肝、肺经,消食健胃，化痰止咳，清热解毒，止痛。,1、饮食积滞、小儿疳积：本品既消食化积，又健运脾胃。  2、热痰咳嗽：本品味苦性寒凉，入肺经，故能清热化痰止咳。  3、热毒泻痢、咽喉肿痛、痈疮疖肿、烫火伤：本品甘寒苦泄，清热解毒，消肿止痛。  4、多种痛证：本品有良好的止痛效果，可治多种痛证，如胃肠疼痛，胆绞痛，肾绞痛，痛经，分娩疼痛，神经痛以及各种外伤、骨折、手术后疼痛等。  5、煎汤外洗或鲜品捣敷，可治湿疹，皮肤瘙痒等。,植物,内服：煎服，15-60g。外用：适量，捣敷或煎水洗。,尚不明确。
牛屎树,桤木皮、罗拐木、菜壳蒜,四川、贵州,清肝明目，舒肝利气。,风火赤目，崩症。,味涩，性平，归肝、肺经,内服：煎汤9-15克。,尚不明确。
苦丁,小山萝卜、龙渣口、叉头草、蛾子草、大叶蜈蚣草、杨梅蒜、羊奶草、野苦麻、高脚蒲公英、丁萝卜、双股金钗、乳浆草、九刀参、八楞麻,味苦，性寒。归心、肝经,清热解毒，祛风湿，活血。,疔疮痈肿，咽喉肿痛，疥癣，痔疮，蛇咬伤，风湿痹痛，跌打损伤。,小毒（《浙江药用植物志》）,内服：煎汤，15-30g；或泡酒。外用：适量，捣敷；或煎水洗。,脾胃虚寒者、孕妇禁用。
萼果香薷,香薷、土香薷,味辛，性温，无毒。归肺经,发汗解暑，利湿行水。,暑湿感冒，乏力困重发热汗出不解，水湿泛溢，目窼水肿，或一身尽肿之患。,植物,内服：煎汤，6-9g。外用：研末调敷，或煎水洗。,
莲衣,莲皮,全国,收涩止血。,吐血、衄血、下血。,味涩、微苦，性平，归心、脾经,内服：煎汤，1-2g。,尚不明确。
密毛桃叶珊瑚果,味微苦，性平,植物,祛湿止带。,赤白带下。,,内服：煎汤，6-9g。,
使君子,留求子、史君子、五棱子、索子果、冬均子、病柑子、君子仁、冬君子、病疳子,味甘，性温；归脾、胃经,杀虫消积。,1、蛔虫病、蛲虫病：本品味甘气香而不苦，性温又入脾胃经。  2、小儿疳积：本品甘温，既能驱虫，又能健脾消疳。,植物,内服：煎服，9-12g，捣碎；取仁炒香嚼服，6-9g。小儿每岁1-1.5粒，1日总量不超过20粒。空腹服用，每日1次，连用3天。,服量过大或与热茶同服，可引起呃逆、眩晕、呕吐等反应。
孔雀尾,见血生、青旗草、凤尾蕨、细叶野鸡尾、细叶路鸡、地侧柏、小凤尾草、退血草、碎叶金花、小旋鸡尾、矮金花草、痢药、风水草、草黄连,味苦、微甘，性凉。归胆、胃经,清热解毒，利湿，止血，生肌。,流行性感冒，目赤肿痛，扁桃体炎，咳嗽，黄疸，肠炎，痢疾，肠胃出血，跌打损伤，疮肿疔毒，烧烫伤。,无毒《湖南药物志》,内服：煎汤，15-30g。外用：适量，煎水洗；或捣敷。,脾胃虚寒者不宜用。
红石耳,红石耳子、石耳子,山西、陕西、西藏,理气健胃，利水除胀。,消化不良，脘腹胀痛，痢疾，疳积。,味微苦，性平，归胃经,内服：煎汤，9-15g。,尚不明确。
高原鸢尾子,味微苦、甘，性凉。入大肠经,植物,清热解毒，驱虫。,用于肠痈，蛔虫病，蛲虫病。,,内服，煎汤，3-9g；或研末。,
太阳针,Plagiopusoederi(Brid.)Limpr.,吉林、辽宁、内蒙古、陕西、青海、新疆、江苏等地,镇静安神。,用于心悸，失眠，癫痫，中风失语。,味淡，性平。归心经,内服：煎汤，3-9g。,尚不明确。
空心苋,空心蕹藤菜、水蕹菜、水花生、过塘蛇、螃蜞菊、假蕹菜、水马齿苋、肥猪菜,河北、江苏、安徽、浙江、江西、福建、湖南、湖北、广西,清热凉血，解毒，利尿。,咳血，尿血，感冒发热，麻疹，乙型脑炎，黄疸，淋浊，痄腮，湿疹，痈肿疖疮，毒蛇咬伤。,味苦、甘，性寒，归肺、膀胱经,内服：煎汤，30-60g，鲜品加倍；或捣汁。外用：适量，捣敷；或捣汁涂。,尚不明确。
镰萼虾脊兰,饭食草、蛇肠珠、石三七、镇腰带、山刀莲、九子莲、捌仙桃,味辛、甘，性平,润肺止咳，活血散结，消肿解毒。,急、慢性支气管炎，肺痨咳嗽，瘰疬，跌打损伤，痔疮，毒蛇咬伤。,植物,内服：煎汤，3-9g；或浸酒。外用：适量，捣敷；或研末调敷；或磨醋搽。,
大青叶,蓝叶、蓝菜,味苦，性寒；归心、胃经,清热解毒，凉血消斑。,1、热入营血，温毒发斑：本品苦寒，善解心胃二经实火热毒；又入血分而能凉血消斑，气血两清，故可用治温热病心胃毒盛，热入营血，气血两燔，高热神昏，发斑发疹。  2、喉痹口疮，痄腮丹毒：本品苦寒，既能清心胃实火，又善解瘟疫时毒，有解毒利咽，凉血消肿之效。 ,植物,内服：煎服，9-15g，鲜品30-60g。外用：适量。,脾胃虚寒者忌用。
空心泡,倒触伞、蔷薇莓、七叶饭消扭、三月泡、白花三月泡、划船泡,味甘、涩，性凉。归肺、肝经,清热，止咳，止血，祛风湿。,肺热咳嗽，百日咳咯血，盗汗，牙痛，筋骨痹痛，跌打损伤；外用治烧烫伤。,植物,15-30g；或用根泡酒服。外用：嫩枝尖捣烂敷患处。,脾胃虚寒者慎用。
鹅掌上黄皮,味甘，性平。归脾经,动物,收湿敛疮。,湿疮，冻疮。,本词条仅用于中医药知识的科普，对于任何形式的野生动物和野生植物的使用均须遵守国家的相关法律法规。,外用：适量，焙干研末撒或调敷。,
竹荪,竹蓐、竹肉、竹菰、竹蕈,味甘、微苦，性凉，归肺、肝经,补气养阴，润肺止咳，清热利湿。,用于肺虚热咳，喉炎，痢疾，白带，高血压病，高血脂症。也用于抗肿瘤的辅助治疗，一般作营养食品。,植物,内服：煎汤，10-30g。,
岩丸子,岩酸、石鼓子、一口血、独牛、酸杆杆、一面锣,湖北、四川、云南,活血消肿，止血，解毒利湿。,跌打损伤，骨折，关节肿痛，咯血，尿血，红崩白带，淋证，狂犬咬伤。,味苦、酸，性微寒。归肝经,9-15g。外用：鲜品适量，捣敷。,尚不明确。
高原蚤缀,味苦、微甘，性寒。入肺经,植物,清热止咳，润肺化痰。,用于肺热咳嗽，肺痨咯痰不爽，瘰疬。,,内服：煎汤，6-15g。,
大花活血丹,大筋草、透骨草,味辛，性平,化痰止咳，散瘀。,用于小儿咳嗽痰喘，骨折。,植物,内服：煎汤，3-9g。外用：适量，捣敷；或研末调涂。,
化香树叶,山柳叶、小化香叶,辛、温。归脾、肾经,解毒疗疮，杀虫止痒。,用于疮痈肿毒，骨痈流脓，顽癣，阴囊湿疹，癞头疮。,有毒,外用：适量，捣烂敷；或浸水洗。,《贵州民间草药》：“不能内服。”
空心木,鬼吹哨、来色木、吹鼓清、泡掌筒、炮竹筒、鬼竹子、大笔杆草、空心草、猴桔子、梅竹叶、金鸡一把锁、大追风、野芦柴,味苦，性凉,利湿清热，活血止血。,湿热黄疸，风湿痹痛，哮喘，月经不调，外伤出血，膀胱炎，骨折损伤。,植物,内服：煎汤，9-15g；或泡酒。外用：适量，捣敷，或煎水外洗。,孕妇慎用。
牛蹄,味甘，性凉。归肾、大肠经,动物,清热止血，利水消肿。,用于风热，崩漏，水肿，小便涩少。,本词条仅用于中医药知识的科普，对于任何形式的野生动物和野生植物的使用均须遵守国家的相关法律法规。,内服：煮食，适量。,虚寒者慎服。
莲座革菌,黄牛屎,味甘，性平。归肝经,祛风散寒，舒筋活络。,风湿痹痛，筋脉拘挛。,植物,内服：煎汤，3-6g；或浸酒服。,
蚂蚁,蚁、玄驹、蚍蜉、马蚁,味咸、酸，性平。归肝、肾二经,补肾益精，通经活络，解毒消肿。,用于肾虚头昏耳鸣，失眠多梦，阳痿遗精，风湿痹痛，中风偏瘫，手足麻木，红斑性狼疮，硬皮病，皮肌炎，痈肿疔疮，毒蛇咬伤。,有毒《四川中药志》1960年版,内服：研末，2-5g；或入丸剂；或浸酒饮。外用：适量，捣烂涂敷。,严重胃病者、胃溃疡者、过敏性哮喘者不宜用。
牛蹄甲,味甘，性温。归心、肝经,动物,定惊安神，敛疮。,用于癫痫，小儿夜啼，臁疮。,本词条仅用于中医药知识的科普，对于任何形式的野生动物和野生植物的使用均须遵守国家的相关法律法规。,内服：烧灰研末，3-9g。外用：适量，烧灰油调敷。,
莲子草,虾钳菜、节节花、水牛膝、鲎脚菜,华东、华中、华南、西南,清热凉血，利水消肿，拔毒止痒。,痢疾，鼻衄，咯血，便血，尿道炎，咽炎，乳腺炎，小便不利；外用于疮疖肿毒，湿疹，皮炎，体癣，毒蛇咬伤。,味微甘、淡，性凉，归心、小肠经,15-30g，或鲜全草60-120g；或绞汁炖温服。外用：适量，鲜全草捣烂或水煎浓汁洗患处。,脾胃虚寒者慎服。
竹叶椒,山椒、狗花椒《中国中部植物》、花胡椒、野花椒、臭花椒、山花椒、鸡椒、白总管、万花针、岩椒、狗花椒、菜椒《云南药用植物名录》,味辛、微苦，性温。归脾、胃经,温中燥湿，散寒止痛，驱虫止痒。,用于脘腹冷痛，寒湿吐泻，蛔厥腹痛，龋齿牙痛，湿疹，疥癣痒疮。,小毒,内服：煎汤，6-9g；研末，1-3g。外用：适量，煎水洗或含漱；或酒精浸泡外搽；或研粉塞入龋齿洞中，或鲜品捣敷。,孕妇忌用。
朴消,朴硝石、消石朴,内蒙古、河北、天津、山西、陕西、青海、新疆、山东等地,泻热软坚，泻热解毒，消肿散结。,用于实热积滞，腹胀便秘，目赤肿痛，喉痹，痈疮肿毒，乳痈肿痛，痔疮肿痛，停痰积聚，妇人瘀血腹痛。,味苦、咸，性寒。归胃、大肠经,外用：适量，研末吹喉；或水化罨敷、点眼、调搽、熏洗。一般不供内服。内服都用其精制品芒硝或玄明粉。,脾胃虚寒及孕妇禁服。
六神曲,神曲、六曲,味甘、辛，性温；归脾、胃经,消食和胃。,饮食积滞：本品辛以行散消食，甘温健脾开胃，和中止泻。,植物,内服：煎服，6-15g。消食宜炒焦用。,脾阴不足、胃火盛及孕妇慎服。
可爱花,对节菜、牛七,味辛，性平。归心经,散瘀消肿。,跌打肿痛。,植物,外用：适量，捣敷或煎汤洗。内服：煎汤，6-15g。,
牛蒡茎叶,大夫叶,味苦、微甘，性凉。归肺、心、肝经,清热除烦，消肿止痛。,用于风热头痛，心烦口干，咽喉肿痛，小便涩少，痈肿疮疖，皮肤风痒，白屑风。,无毒（《药性论》）,内服：煎汤，10-15g，鲜品加倍；或捣汁。外用：适量，鲜品捣敷；或绞汁，或熬膏涂。,
冷水花,水麻叶、土甘草、山羊血、白山羊、甜草。,味淡、微苦，性凉。归肝、胆经,清热利湿，退黄，消肿散结，健脾和胃。,湿热黄疸，赤白带下，淋浊，尿血，小儿夏季热，疟母，消化不良，跌打损伤，外伤感染。,无毒《湖南药物志》,内服：煎汤，15-30g；或浸酒。外用：适量，捣敷。,妊娠慎服。
复叶耳蕨,Arachniodesexilis（Hance）Ching,长江流域以南地区、山东、河南,清热解毒，敛疮。,用于痢疾，烧烫伤。,味微苦、涩，性凉,内服：煎汤，15-30g。外用：适量，研末调敷。,本品久服可致宫寒不孕。
华罂粟,山罂粟、野罂粟、藏金莲,酸、微苦，凉,敛肺止咳，涩肠止泻，镇痛。,用于久咳喘息，久泻，久痢，头痛，胃痛，心腹疼痛，风湿痹痛，跌打损伤。,有毒,内服：煎汤，3-9g。研末，2-3g。,有痰热实邪者禁服。
美穗草,黑升麻、高山四方麻、咳药、叶下红、小寒药、反背红《全国中草药汇编》,味苦，性寒,清热解毒，化痰止咳。,咳嗽痰黄，咽喉肿痛，赤白痢疾，小便淋沥，痈肿疮毒。,植物,内服：煎汤，10-15g。外用：鲜品适量，捣敷。,
菊花暗消,胃药、马氏紫花、白花暗消,味辛、苦，性微温,祛风除湿，行气止痛。,用于风寒感冒，风湿痹痛，胃脘痛。,无毒,内服：煎汤，5-10g；或研末。,
鹅肉,味甘，性平。归脾、肺经,动物,益气补虚，和胃止渴。,虚羸，消渴。,本词条仅用于中医药知识的科普，对于任何形式的野生动物和野生植物的使用均须遵守国家的相关法律法规。,内服：适量，煮熟，食肉或汤汁。相关配伍1、治糖尿病：鹅肉100g，熟地、葛根、淮山药各30g，花粉、莲肉、扁豆各15g，水煎，去药渣，饮汤食鹅肉，每日1料。2、食欲不振：鹅肉200g，料酒、精盐、大料各适量，一起煮汤食用。3、治阴虚发热、手足心热、腰腿乏力、健忘：鹅肉500g，鱼鳔40g，煮熟用精盐、味精调味食用。,湿热内蕴者禁食。
拟囊果芹,味辛、苦，性平,植物,散风除湿，止痛解毒。,用于感冒，咳嗽，风湿骨痛，肌肉痛，偏头痛，疮肿。,,内服：煎汤，3-9g。外用：适量，捣敷；或煎汤洗。,
桔梗芦头,味辛，性寒。入肺、胃二经,无毒《吴普本草》,清热化痰。,胃热呕吐，热咳痰稠，咳逆胸闷。,植物,内服：生研末1-3克，白汤调服。,
开口箭,巴林麻、心不干、岩芪、大寒药、万年攀、竹根七、牛尾七、竹根参、包谷七、岩七、石风丹、搜山虎、小万年青、开喉剑、老蛇莲、青龙胆、罗汉七,味苦、辛，性寒。归肺、胃、肝经,清热解毒，祛风除湿，散瘀止痛。,用于白喉，咽喉肿痛，风湿痹痛，跌打损伤，胃痛，痈肿疮毒，毒蛇、狂犬咬伤。,有毒《广西本草选编》,内服：煎汤，1.5-3g；研末，0.6-0.9g。外用：适量，捣敷。,孕妇禁服。
黎辣根,梨罗根、红点秤、一扫光、铁包金、山绿篱根、黎头根、琉璃根、土黄柏、马灵仙、拿蒟、山六厘、山黄、六厘柴、癞痢柴、苦李根。,中南、西南、陕西、江苏、安徽、浙江、江西、福建、台湾,清热解毒，杀虫利湿。,疥疮，顽癣，疮疖，湿疹，荨麻疹，癞痢头，跌打损伤。,味苦、辛，性平，归肝、大肠经,外用：适量，煎水熏洗；或捣敷；或研末调敷；或磨醋擦患处。内服：煎汤，3-5g；或浸酒。,本品有毒，以外用为主，内服宜慎。
短枝六道木,通花梗、紫荆丫,陕西、湖北、四川,祛风湿，解热毒。,风湿筋骨疼痛。外用治痈疮红肿。,味苦、涩，性平，归脾经,15-24g。外用：捣烂外敷。,尚不明确。
镜面草,翠屏草、象耳朵草、岩金花、紫常绿、镜面叶、跌打散,味微苦、辛，性寒,清热解毒，祛痰消肿。,用于丹毒，骨折。,无毒,内服：煎汤，6-9g。外用：适量，敷捣。,脾胃虚寒者不宜服用。
美丽胡枝子花,味苦，性平。归心、肺经,植物,清热凉血。,用于肺热咳血，便血。,,内服：煎汤，鲜者1-2两。,
对马耳蕨,毛脚鸡、蕨萁、线鸡尾,中南、西南及陕西、安徽、浙江、江西、福建、台湾、西藏,清热解毒，凉血散瘀。,痢疾，目赤肿痛，乳痈，疮疖肿毒，痔疮出血，烫火伤。,味苦，性凉，归心、脾经,内服：煎汤，10-15g。外用：适量，捣敷。,尚不明确。
高山辣根菜,索罗嘎宝、掐贵普索,青海、四川、云南、西藏,清热解毒，清肺止咳，止血，消肿。,用于温病发热，肺热咳嗽，咯血，创伤出血，四肢浮肿。,味苦、辛，性寒，归肺、肝经,3～6g；或入丸、散。外用适量，研末敷。,脾胃虚寒者慎用。
高山柏,西南及陕西、甘肃、安徽、福建、台湾、湖北、西藏,味苦，性平,祛风除湿，解毒消肿。,用于风湿痹痛，肾炎水肿，尿路感染，痈疮肿毒。,植物,内服：煎汤，9-15g；或熬膏。,尚不明确。
落霜红根,味甘、苦，性凉。归肺、肝经,植物,清肺，解毒，敛疮。,肺痈，烫伤，疮疡溃烂。,,内服：煎汤，鲜品30-60g。外用：适量，捣绞汁涂。,
峨屏草,峨眉岩雪下,味苦、咸，性寒。归肝经,清热熄风。,高热惊厥，惊痫抽搐。,无毒,内服：煎汤，9-15g，大剂量可用至30g。,
卷柏,一把抓、老虎爪、长生草,味辛，性平。归肝、心经,卷柏活血通经；卷柏炭化瘀止血。,卷柏用于经闭痛经，癥瘕痞块，跌扑损伤；卷柏炭用于吐血，崩漏，便血，脱肛。,无毒,5～10g。,本品为活血通经之品，孕妇慎用。
漆叶,味辛，性温。入肝、脾经,小毒,活血解毒，杀虫敛疮。,紫云疯，面部紫肿，外伤瘀肿出血，疮疡溃烂，疥癣，漆中毒。,植物,外用：适量，捣烂敷；或捣汁搽；或煎水洗。,阴虚者不宜用。
鹅臎,鹅尾罂,华东、华南地区,益肾，润肌肤。,聤耳及聋，手足皴。,味辛，性温，归脾、胃、肾经,外用：适量，纳之。,尚不明确。
毛轴莎草,三棱草（广东、广西），三角草（广西）,入肝、肾经,活血散瘀，利水消肿。,跌打损伤，浮肿。,植物,内服：煎汤，3-9g。,
红瑞木果,Swida alba Opiz,东北、华北、陕西、甘肃、青海、山东、江苏、浙江、江西,滋肾强壮。,肾虚腰痛，体弱羸瘦。,味酸、涩，性平,内服：煎汤，3-9g；或泡酒。,有郁火、湿热者慎服。
红头小仙,紫背倒提壶、肥儿宝、那猪草、红头草,味微苦，性平。归肺经,清肺止咳，解毒止痛。,用于肺热咳喘，小儿疳积，头痛，鼻渊，胸膜炎，口腔炎，乳腺炎。,植物,内服：煎汤，10-15g；或捣烂冲开水含服。 外用：适量，煎水洗；或捣汁涂。,
梅叶,ArmeniacamumeSieb.,长江流域以南各地,清热解毒，涩肠止痢。,痢疾，崩漏。,味酸，性平，归胃、大肠经,内服：煎汤，3-10g。外用：适量，蒸热熏。,尚不明确。
米仔兰,树兰《台湾府志》，鱼子兰《广州植物志》，千里香《陆川本草》，兰花米、珠兰、木珠兰《四川中药志》，碎米兰《广西本草选编》，而子兰、鱼骨木《广西药用植物名录》，秋兰《台湾药用植物志》，米兰《贵州中草药名,味辛，性微温。入肺、胃、肝经,祛风湿，散瘀肿。,风湿关节痛，跌打损伤，痈疽肿毒。,植物,内服：煎汤，6-12g。外用：适量，捣敷；或熬膏涂。,阴血亏虚者慎用。
老虎俐,把守天门、天下无敌手、不可摸、艾麻草、圆齿艾麻,海南、广西、云南、西藏,散瘀消肿。,跌打伤肿，骨折。,味辛，性温,外用：适量，嫩茎叶捣敷。,株上毛刺有毒，使用时切勿使其刺伤皮肤。
老鼠吹箫,羊肌藤、鸡舌头叶、风藤草,味苦，性寒，归肝经,祛风镇痛，除湿解毒。,风湿腰痛，肢体瘫痪，胃痛，皮肤疮毒，毒蛇咬伤。,小毒,内服：煎汤，9-15g。外用：适量，煎水洗。,
甘土,白单、白墡、丹道、土精,味苦，性微寒。归肺、肠经,解毒。,用于食物或菌类中毒。,无毒 《本草拾遗》,内服：适量，温开水调匀，饮服300-500ml。,
甘木通,眼蛇药,广东、海南、广西、云南,清肝火，宁心神，降血压，通络止痛。,用于高血压病，失眠，头痛，四肢麻木，肝经风热，目赤肿痛，风火牙痛，风湿痹痛。,味甘，性微凉，归心、肝经,内服：煎汤，9-15g。外用：适量，捣烂塞患牙。,尚不明确。
马牙贯众,味苦，性凉,无毒,清热解毒，止血，驱虫。,用于疮毒疖肿，痢疾，鼻衄，蛔虫病。,植物,内服：煎汤，10-15g。外用：适量，捣敷。,
竻慈姑,天河芋、勒茹茹、水竻钩、勒蒙、竻芋、竻藕、勒慈茹、勒芋、巧南、野茨茹、山茨茹、水勒芋、有勒慈姑、旱慈姑,台湾、广东、海南、广西、云南,清热利湿，解毒消肿，健胃消食。,热病口渴，肺热咳嗽，小便黄赤，肾炎水肿，白带，风湿痹痛，跌打肿痛，慢性胃炎，消化不良，小儿头疮，胎毒，痄腮，淋巴结结核，痈肿疮疖，毒蛇咬伤。,味苦、辛，性凉，归心、肺、膀胱经,内服：煎汤，9-15g。外用：适量，煎水洗；或研末调敷。,尚不明确。
红毛鸡,茅笼中鸟、绿结鸡、毛鸡、褐翅鸦鹃、大毛鸡,味甘，性温。归肝经,滋阴补血，调经通乳，祛风除湿。,妇女产后体虚头痛，手脚麻木，风湿痹痛，跌打损伤。,无毒,内服：煮食，15-30g；或浸酒，每次25-50ml。外用：适量，浸酒涂敷。,阳盛及外感热病禁服。
罗汉松叶,江南柏叶、江西侧柏叶,味淡，性平。归肺、肝经,止血。,吐血，咳血。,植物,内服：煎汤，10-30g。,
冷蕨,宝兴耳蕨、穆坪耳蕨、穆坪高山耳蕨、热那儿,陕西、甘肃、四川、云南,和胃，解毒。,胃病，食物中毒。,味苦，性寒，归胃经,内服：煎汤，5-10g。,尚不明确。
老鼠脚迹,地胡椒、大鹅不食、鹅不食草,福建、台湾、广东、海南、广西及云南,祛瘀止痛。,跌打损伤，目赤肿痛。,味辛，性温，归肝，胃经,外用：适量，捣敷。,孕妇慎用。
栗荴,栗子内薄皮、栗蓬内膈断薄衣,味甘、涩，性平。归肝、肾经,散结下气，养颜。,骨鲠，瘰疬，反胃，面有皱纹。,无毒《纲目》,内服：煎汤，3-5g。外用：适量，研末吹咽喉；或外敷。,
柑皮,广陈皮、新会皮、陈柑皮,辛、甘，寒。脾、胃、肺经。,下气，调中，化痰，醒酒。,用于饮食失调，上气烦满，伤酒口渴。,植物,内服：煎汤，3-9g；或入丸、散。,脾胃虚寒者慎服。
