药材,古籍,别名,性味归经,功用,药材简介,药剂1,药剂2,药剂3,药剂4,药剂5,药剂6,药剂7,药剂8,药剂9,药剂10,用法用量,注意事项
蔓荆子,《神农本草经》,蔓荆实、荆子、万荆子、蔓青子、蔓荆、白背风,辛、苦，微寒。归膀胱、肝、胃经。,疏散风热，清利头目，祛风止痛。,蔓荆子，中药名。为马鞭草科牡荆属植物单叶蔓荆或蔓荆的干燥成熟果实。具有疏散风热，清利头目，除湿处关节的功效。主治风热感冒，头昏头痛，目赤肿痛，耳鸣耳聋，祛风止痛。,蔓荆子配菊花,蔓荆子配连翘,蔓荆子配川芎,蔓荆子配人参,益气聪明汤,顺气和中汤,羌活胜湿汤,芎菊上清丸,,,蔓荆子煎汁内服时，成人每天的常规用量为5～10克。 本品还可浸酒服用，或入丸剂、散剂。 外用适量，可捣烂敷于患处。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,血虚有火之头痛目眩及胃虚者慎服。
蝉蜕,《名医别录》,蝉退、蝉衣、蝉壳、蚱蟟皮,甘，寒。归肺、肝经。,疏散风热，利咽，透疹，明目退翳，解痉,蝉蜕，中药名。为蝉科华南蚱蝉属昆虫黑蚱的若虫羽化时脱落的皮壳。具有疏散风热，利咽开音，透疹，明目退翳，息风止痉功效。主治风热感冒，温病初起，咽痛喑哑，麻疹不透，风疹瘙痒，目赤翳障，急慢惊风，破伤风等。在夏秋季黑蚱蝉蜕化之时收集。,蝉蜕配薄荷,蝉蜕配僵蚕,蝉蜕配石菖蒲,蝉蜕配凤凰衣,蝉蜕配橘红,辛凉清解饮,蝉花散,竹叶柳蒡汤,消风散,,蝉蜕煎汁内服时，成人每天的常规用量为3～6克；或者适量研粉冲服；还可以制成丸剂、散剂，需适量。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,孕妇慎用。
木贼,《嘉祐本草》,木贼草、千峰草、锉草、笔头草、笔筒草、节骨草,甘、苦，平。归肺、肝经。,疏散风热，明目退翳。,木贼，中药名。为木贼科木贼属植物木贼的干燥地上部分。具有疏散风热，明目退翳的功效。主治风热目赤，迎风流泪，目生翳障，出血证。,木贼配谷精草、蝉蜕,木贼配槐角、荆芥炭,栀子胜奇散,拨云退翳丸,黄连羊肝丸,退障眼膏,,,,,木贼煎汁内服时，成人每天的常规用量为3~9克。或入丸、散。 外用适量，研末撒。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,气血虚者慎服。
薄荷,野薄荷、夜息香,辛，凉。归肺、肝经。,疏散风热，清利头目，利咽，透疹，疏肝行气。,薄荷，中药名。为唇形科薄荷属植物薄荷的地上部分。具有疏散风热，清利头目，利咽透疹，疏肝行气的功效。主治风热感冒，温病初起，风热头痛，目赤多泪，咽喉肿痛，麻疹不透，风疹瘙痒，肝郁气滞、胸闷胁痛。在茎叶旺盛生长时采收。,,,,,,,,,,,,本品芳香辛散，发汗耗气，故体虚多汗者不宜使用。,
浮萍,《神农本草经》,浮漂草、青萍、田萍、浮萍草、水浮萍、水萍草,辛，寒。归肺、膀胱经。,宣散风热，透疹止痒，利尿消肿。,浮萍，中药名。为浮萍科紫萍属植物紫萍的干燥全草。具有发汗解表，透疹止痒，利尿消肿功效。主治风热感冒，麻疹不透，风疹瘙痒，水肿尿少。,浮萍配薄荷、蝉蜕,浮萍配荆芥、防风,浮萍配麻黄,浮萍银翘汤,浮萍散,小儿羚羊散,金酸萍糖浆,,,,浮萍煎汁内服时，成人每天的常规用量为3～9克，鲜品15～30克。 外用适量，煎汤浸洗，或研磨，或鲜品捣敷。 一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,表虚自汗者不宜使用。
天花粉,《神农本草经》,天花粉、栝楼根、花粉、楼根,甘、微苦，微寒。归肺、胃经。,清热泻火，生津止渴，消肿排脓。,天花粉，中药名。为葫芦科栝楼属植物栝楼或双边栝楼的干燥根。具有清热泻火，生津止渴，消肿排脓的功效。主治热病烦渴，肺热燥咳，内热消渴，疮疡肿毒。,天花粉配瓜蒌皮,天花粉配天冬,天花粉配金银花,沙参麦冬汤,滋燥饮,仙方活命饮,清肺抑火丸,清音丸,,,天花粉煎汁内服时，成人每天的常规用量为10～15克。 或入丸、散剂。外用时适量，捣敷或研末调敷。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾胃虚寒、大便溏泄者、孕妇禁服。反乌头。少数病人可出现过敏反应。
知母,《神农本草经》,蚳母、连母、野蓼、地参,苦、甘，寒。归肺、胃、肾经。,清热泻火，滋阴润燥。,知母，中药名。为百合科知母属植物知母的干燥根茎。具有清热泻火，滋阴润燥的功效。主治热病烦渴，肺热燥咳，骨蒸潮热，内热消渴，肠燥便秘。,知母配黄芩,知母配黄连,知母配黄柏,知母配天花粉,知母配酸枣仁,白虎汤,知柏地黄丸,玉液汤,,,知母煎汁内服时，成人每天的常规用量为6～12克。或入丸、散。 清热泻火，滋阴润燥宜生用；入肾降火滋阴宜盐水炙用。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,本品性寒质润，有滑肠作用，故脾胃虚寒、大便溏泄者忌服。
芦根,《名医别录》,芦茅根、苇根、芦头、芦柴根,甘，寒。归肺、胃经。,清热泻火，生津止渴，除烦，止呕，利尿。,芦根，中药名。为禾本科芦苇属植物芦苇的新鲜或干燥根茎。具有清热泻火，生津止渴，除烦，止呕，利尿的功效。主治热病烦渴，胃热呕哕，肺热咳嗽，肺痈吐脓，热淋涩痛。,芦根配天花粉,芦根配薏苡仁,芦根配白茅根,五汁饮,芦根饮子,桑菊饮,银翘伤风胶囊,清暑解毒颗粒,,,芦根煎汁内服时，成人每天的常规用量为15～30克，鲜品用量加倍（30～60克）。 本品也可以捣烂取汁服用。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾胃虚寒者慎服。
夏枯草,《神农本草经》,麦穗夏枯草、铁线夏枯草等,辛、苦，寒。归肝、胆经。,清肝泻火，明目，散结消肿。,夏枯草，中药名。为唇形科夏枯草属植物夏枯草的干燥果穗。具有清热泻火，明目，散结消肿的功效。主治目赤肿痛，头痛眩晕，目珠夜痛，瘰疬，瘿瘤，乳痈肿痛。,夏枯草配石决明,夏枯草配浙贝母,夏枯草汤,夏枯草膏,明珠口服液,清脑降压片,消瘿丸,乳康片,,,夏枯草煎汁内服时，成人每天的常规用量为9～15克。 或熬膏服用。或入丸、散剂。外用适量，煎水洗或捣敷 。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,中西药配伍禁忌： 1.不宜与螺内酯、氨苯蝶啶等保钾排钠药合用，易致高钾血症。 2.夏枯草富含钾离子，不宜与钾盐配用，以避免出现血钾过高的危险。
石膏,《神农本草经》,生石膏,甘、辛，大寒。归肺、胃经。,生用：清热泻火，除烦止渴；煅用：收湿，生肌，敛疮，止血。,石膏，中药名。为硫酸盐类石膏族矿物石膏，主含含水硫酸钙42。具有清热泻火，除烦止渴，敛疮生肌，收湿，止血功效。主治温热病气分实热证，肺热喘咳证，胃火牙痛，头痛，实热消渴，溃疡不敛，湿疹瘙痒，水火烫伤，外伤出血。开矿时取得。开矿采集。,,,,,,,,,,,生石膏煎服，15～60g，宜打碎先煎。煅石膏外用适量，研末撒敷患处。,凡阳虚寒证，脾胃虚弱及非实热者不宜使用。
决明子,《神农本草经》,马蹄决明、钝叶决明、假绿豆、草决明,甘、苦、咸，微寒。归肝、大肠经。,清肝明目，润肠通便。,决明子，中药名。为豆科决明属植物决明或小决明的干燥成熟种子。具有清热明目，润肠通便功效。主治目赤肿痛，羞明多泪，目暗不明，头痛，眩晕，肠燥便秘。果实完全成熟时采收。,决明子配石决明,决明子散,决明子丸,清脑降压片,山菊降压片,养血清脑颗粒,血脂宁丸,心脉通片,,,决明子煎汁内服时，成人每天的常规用量为9～15克。 打碎研末，每次3～6克；降血脂时可用至30克。 还可以入丸剂、散剂，或泡茶饮。外用时适量，研末调敷。 治便秘时不宜久煎，适合使用生品。 无论饭前还是饭后服，服药与进食都应间隔0.5-1小时，以免影响药物吸收和药效的发挥。,脾胃虚寒及便溏者慎服。
青葙子,《神农本草经》,青葙、野鸡冠花、狗尾草、鸡冠苋、大尾鸡冠花、牛尾花子,苦，微寒。归肝经。,清肝泻火，明目退翳。,青葙子，中药名。为苋科青葙属植物青葙的干燥成熟种子。具有清热泻火，明目退翳的功效。主治肝热目赤，眼生翳膜，视物昏花，肝火眩晕。,,,,,,,,,,,1.瞳子散大者忌服青葙子。《本草备要》 2.青葙子清泄肝火之力较强，且能扩散瞳孔，故肝肾阴虚之目疾及青光眼患者忌用青葙子。,
栀子,《神农本草经》,山栀、山栀子、黄果子、山黄枝、黄栀、水栀子、越桃、木丹、山黄栀、生栀子等,苦，寒。归心、肺、三焦经。,泻火除烦，清热利湿，凉血解毒；外用消肿止痛。,栀子，中药名。为茜草科栀子属植物栀子的干燥成熟果实。具有泻火除烦，清热利湿，凉血解毒的功效。主治热病心烦，湿热黄疸，血淋涩痛，血热吐衄，目赤肿痛，火毒疮疡。果实接近成熟时或成熟时采收。,,,,,,,,,,,栀子煎汤内服时，成人每天的常规用量为6~10克，外用适量可以研末调敷。栀子也可以入丸、散服用。 一般饭后服，无论饭前还是饭后服，服药与进食都应间隔0.5-1小时，以免影响药物吸收和药效的发挥。 用于清热泻火时适合选用生栀子，用于凉血止血时适合选用焦栀子。,
淡竹叶,《本草纲目》,竹叶、碎骨子、山鸡米、金鸡米、迷身草、竹叶卷心,甘、淡，寒。归心、胃、小肠经。,清热泻火，除烦止渴，利尿通淋。,淡竹叶，中药名。为禾本科淡竹叶属植物淡竹叶的干燥茎叶。具有清热泻火，除烦，利尿的功效。主治热病烦渴，口疮尿赤，热淋涩痛。,淡竹叶配芦根,淡竹叶配麦冬,淡竹叶配白茅根,小蓟饮子,银翘解毒丸（颗粒、片、胶囊）,清暑解毒颗粒,肾舒颗粒,,,,淡竹叶煎汁内服时，成人每天的常规用量为6～15克。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,无实火、湿热者慎服，体虚有寒者禁服。
寒水石,《神农本草经》,凝水石、白水石、凌水石、盐精、水石、冰石、鹊石、盐精石、泥精、盐枕、盐根,辛、咸，寒。归心、胃、肾经。,清热泻火。,寒水石，中药名。为硫酸盐类石膏族矿物石膏或为碳酸盐类方解石族矿物方解石的天然晶体。具有清热泻火功效。主治热病烦渴，癫狂，口疮，热毒疮肿，丹毒烫伤。开矿采集。,,,,,,,,,,,煎服，9～15g。打碎先煎。外用适量，研细粉调敷患处。,脾胃虚寒者忌服。
密蒙花,《开宝本草》,染饭花、九里香、小锦花、蒙花、黄饭花、疙瘩皮树花、鸡骨头花,甘，微寒。归肝经。,清热泻火，养肝明目，退翳。,密蒙花，中药名。为马钱科植物密蒙花的干燥花蕾。具有清热泻火，养肝明目，退翳的功效。主治目赤肿痛，羞明多泪，眼生翳膜，肝虚目暗，视物昏花。,,,,,,,,,,,密蒙花煎汁内服时，成人每天的常规用量为3～9克。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,
鸭跖草,《本草拾遗》,碧竹子、翠蝴蝶、淡竹叶等,甘、淡，寒。归肺、胃、小肠经。,清热泻火，解毒，利水消肿。,,鸭跖草配金银花,鸭跖草配石膏,鸭跖草配玄参,鸭跖草配白茅根,蓟菜汤,炎宁颗粒,银香颗粒,,,,鸭跖草煎汁内服时，成人每天的常规用量为15～30克，鲜品60～90克；或捣汁饮。 外用时适量，捣敷或捣汁漱口。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾胃虚寒者慎服。
苦参,《神农本草经》,地槐、好汉枝、山槐子、野槐、紫穗槐,苦，寒。归心、肝、胃、大肠、膀胱经。,清热燥湿，杀虫止痒，利尿。,苦参，中药名。为豆科槐属植物苦参的干燥根。具有清热燥湿，杀虫，利尿的功效。主治湿热泻痢，便血，黄疸，湿热带下，阴肿阴痒，湿疹湿疮，皮肤瘙痒，疥癣，湿热小便不利。,苦参配木香,苦参配当归,苦参配蛇床子,苦参配茯苓,消风散,湿毒清胶囊,妇炎平胶囊,尿毒清颗粒,,,"苦参煎汁内服时，成人每天的常规用量为4.5～9克。 苦参可入丸、散。外用时适量，煎汤洗患处，或者研末外敷。 无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药物吸收和药效的发挥 1,7] 。",脾胃虚寒者忌用，反藜芦。
黄芩,《神农本草经》,山茶根、土金茶根、枯芩、青子芩,苦，寒。归肺、胆、脾、大肠、小肠经。,清热燥湿，泻火解毒，止血，安胎。,黄芩，中药名。为唇形科黄芩属植物黄芩的干燥根。具有清热燥湿，泻火解毒，止血，安胎的功效。主治湿温，暑湿，胸闷呕恶，湿热痞满，黄疸泻痢，肺热咳嗽，高热烦渴，血热吐衄，胎动不安。 野生黄芩生长很多年后，根中心部位就枯了，切成片后成一个环，就是通常所说的“枯芩”。 有研究表明“枯芩”中的黄芩素、黄芩甙含量不如栽培黄芩高，而且“枯芩”生长的野生生态环境差异非常大，有效成分含量差异也较大。,黄芩配黄连,黄芩配厚朴,黄芩配木香,黄芩配桑白皮,黄芩配砂仁,黄芩滑石汤,半夏泻心汤,葛根黄芩黄连汤,清气化痰丸,,黄芩煎汁内服时，成人每天的常规用量为3~10克。 也可入丸剂或散剂中，成人每天的常规用量为3～9克。 外用适量，将黄芩研成粉末，调敷，或熬膏贴敷。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。 用于清热燥湿时，适合生用。用于安胎时，适合炒用。用于清上焦热时，适合酒炙使用。用于止血时，适合炒炭使用。,脾胃虚寒者不宜使用。
黄连,《神农本草经》,川连、味连、鸡爪连,苦，寒。归心、脾、胃、肝、胆、大肠经。,清热燥湿，泻火解毒。,黄连，中药名。为毛茛科黄连属植物黄连、三角叶黄连或云连的干燥根茎。具有清热燥湿，泻火解毒功效。主治湿热痞满，呕吐吞酸，湿热泻痢，高热神昏，心烦不寐，血热吐衄，痈肿疖疮，目赤牙痛，消渴，外治湿疹、湿疮、耳道流脓。,黄连配木香,黄连配半夏,黄连配大黄,黄连配水牛角,泻心汤,左金丸,葛根芩连汤,黄连解毒汤,清胃散,,黄连煎汤内服时，成人每天的常规用量为2~5克，也可以入丸、散剂；外用适量研末调敷，或煎水洗，或熬膏涂，或浸汁用。 黄连生用清热力较强，炒用能降低黄连的苦寒。 酒黄连善于清上焦火热，可以用于治疗眼睛红、口疮等。 姜黄连善于清胃和胃止呕，可以用于治疗寒热互结、湿热中阻、胀满呕吐等。 萸黄连善于疏肝和胃止呕，可以用于治疗肝胃不和、呕吐吞酸等。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,本品大寒，过量久服易伤脾胃，脾胃虚寒者忌用。苦燥易伤阴津，阴虚津伤者慎用。
龙胆,《神农本草经》,地胆头、磨地胆、鹿耳草,苦，寒。归肝、胆经。,清热燥湿，泻肝胆火。,龙胆，中药名。为龙胆科龙胆属植物条叶龙胆、龙胆、三花龙胆或坚龙胆的干燥根及根茎。具有清热燥湿，泻肝胆火的功效。主治湿热黄疸，阴肿阴痒，带下，湿疹瘙痒，肝火头痛，目赤耳聋，胁痛口苦，惊风抽搐。,龙胆配茵陈,龙胆配石决明,龙胆配苦参,龙胆泻肝汤,当归龙荟丸,泻青丸,耳聋丸,泻肝安神丸,,,龙胆煎汁内服时，成人每天常规用量为3~6克。 龙胆内服时也可以入丸剂或者散剂。 龙胆还可以外用适量，煎水洗或者研末调搽患处。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾胃虚寒者不宜用，阴虚津伤者慎用。
白鲜皮,《神农本草经》,白藓皮、八股牛、山牡丹、羊鲜草,苦，寒。归脾、胃、膀胱经。,清热燥湿，祛风解毒。,白鲜皮，中药名。为芸香科白鲜属植物白鲜的干燥根皮。具有清热燥湿，祛风解毒的功效。主治湿热疮毒，湿疹，疥癣，湿热黄疸，风湿热痹。,白鲜皮配苦参,白鲜皮配地肤子,白鲜皮配薏苡仁,白鲜皮散,湿毒清胶囊,皮肤康洗液,白癜风胶囊,复方青黛丸,,,白鲜皮煎汁内服时，成人每天的常规用量为5～10克。 本品还可入丸剂、散剂。 外用适量，可煎汤外洗或研粉敷于患处。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾胃虚寒者慎用。
秦皮,《神农本草经》,岑皮、秦白皮、（木寻）木皮、蜡树皮,苦、涩，寒。归肝、胆、大肠经。,清热燥湿，收涩止痢，止带，明目。,秦皮，中药名。为木犀科白蜡树属植物苦枥白蜡树、白蜡树、尖叶白蜡树或宿柱白蜡树的干燥枝皮或干皮。具有清热燥湿，收涩止痢，止带，明目的功效。主治湿热泻痢，带下阴痒，肝热目赤肿痛，目生翳膜。一般在春末夏初采收，取下树皮。,秦皮配黄连,秦皮配白头翁,秦皮配地榆,白头翁汤,白头翁加甘草阿胶汤,泻痢宁片,秦皮接骨胶囊,金利油软胶囊,,,秦皮煎汁内服时，成人每天的常规用量为6～12克。 外用适量，煎水洗眼，或取汁点眼。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾胃虚寒者忌用。
